"code";"diagosis"
"1.2.6.8.5";"Truncus arteriosus (Surgical)"
"1.2.6.8.6";"Patent ductus arteriosus (Surgical)"
"1.2.6.11.1";"Traumatic dissection of thoracic aorta (Surgical)"
"1.2.6.11.2";"Non-traumatic dissection of thoracic aorta (Surgical)"
"1.2.6.11.3";"Thoracic or thoraco-abdominal aortic aneurysm (Surgical)"
"1.2.6.27.1";"Infected thoracic aortic prosthesis (Surgical)"
"1.2.6.27.2";"Aortic root abscess (Surgical)"
"1.2.6.27.3";"Syphilitic aortitis (Surgical)"
"1.2.6.30.1";"Coarctation of the aorta (Surgical)"
"1.2.6.38.1";"Traumatic rupture of thoracic aorta (Surgical)"
"1.2.6.38.2";"Traumatic or instrumental perforation of thoracic aorta (Surgical)"
"1.2.7.11.1";"Aortic or iliac dissection or aneurysm (Surgical)"
"1.2.7.11.2";"Traumatic dissection or rupture of abdominal aorta or iliac vessels (Surgical)"
"1.2.7.11.4";"Traumatic aorto-caval fistula (Surgical)"
"1.2.7.11.5";"Traumatic aorto-enteric fistula (Surgical)"
"1.2.7.27.1";"Infected aortic or iliac prosthesis (Surgical)"
"1.2.7.30.1";"Occlusive aortic or iliac disease (Surgical)"
"1.2.7.30.2";"Iliac or saddle embolus (Surgical)"
"1.2.7.38.1";"Traumatic dissection or rupture of abdominal aorta or iliac vessels (Surgical)"
"1.2.7.38.2";"Instrumental damage to abdominal aorta or iliac vessels (Surgical)"
"1.2.7.38.3";"Traumatic aorto-enteric fistula (Surgical)"
"1.2.7.38.4";"Traumatic aorto-caval fistula (Surgical)"
"1.2.8.11.1";"Renal artery aneurysm or dissection (Surgical)"
"1.2.8.11.2";"Hepatic artery aneurysm (Surgical)"
"1.2.8.11.3";"Splanchnic artery aneurysm or dissection not defined (Surgical)"
"1.2.8.30.1";"Renal artery stenosis or occlusion (Surgical)"
"1.2.8.30.2";"Renal artery embolus (Surgical)"
"1.2.8.30.3";"Renal infarction (Surgical)"
"1.2.8.30.4";"Renal artery aneurysm or dissection (Surgical)"
"1.2.8.30.5";"Hepatic artery stenosis or occlusion (Surgical)"
"1.2.8.30.6";"Portal vein occlusion or thrombosis (Surgical)"
"1.2.8.30.7";"Hepatic vein occlusion or thrombosis (Surgical)"
"1.2.8.30.8";"Visceral artery stenosis or occlusion (Surgical)"
"1.2.8.30.9";"Visceral artery embolism (Surgical)"
"1.2.8.30.10";"Visceral infarction due to primary vascular disease (Surgical)"
"1.2.8.30.11";"Small bowel infarction due to herniation, volvulus or adhesions (Surgical)"
"1.2.8.30.12";"Portal hypertension (Surgical)"
"1.2.8.38.1";"Traumatic damage to renal vessels (Surgical)"
"1.2.8.38.2";"Traumatic damage to splanchnic vessels (Surgical)"
"1.2.8.38.3";"Instrumental damage to renal or splanchnic vessels (Surgical)"
"1.2.9.8.1";"Extracranial or neck arterio-venous malformation or haemangioma (Surgical)"
"1.2.9.11.1";"Carotid or vertebral artery aneurysm or dissection (Surgical)"
"1.2.9.15.1";"Epistaxis (Surgical)"
"1.2.9.30.1";"Carotid or vertebral artery stenosis or occlusion (Surgical)"
"1.2.9.38.1";"Traumatic rupture or puncture of carotid or vertebral artery (Surgical)"
"1.2.9.38.2";"Instrumental damage to carotid or vertebral artery (Surgical)"
"1.2.10.11.1";"Upper limb artery aneurysm or dissection (Surgical)"
"1.2.10.11.2";"Lower limb artery aneurysm or dissection (Surgical)"
"1.2.10.15.1";"Bleeding from limb vessel (Surgical)"
"1.2.10.30.1";"Upper limb artery stenosis or occlusion (Surgical)"
"1.2.10.30.2";"Lower limb artery stenosis or occlusion (Surgical)"
"1.2.10.30.3";"Upper limb embolus (Surgical)"
"1.2.10.30.4";"Lower limb embolus (Surgical)"
"1.2.10.38.1";"Traumatic rupture or puncture of upper limb artery (Surgical)"
"1.2.10.38.2";"Traumatic rupture or puncture of lower limb artery (Surgical)"
"1.2.10.38.3";"Instrumental damage to limb artery (Surgical)"
"1.2.11.27.1";"Infected thrombophlebitis of the great veins (Surgical)"
"1.2.11.27.2";"Infected intravenous catheter in the great veins (Surgical)"
"1.2.11.30.1";"Superior vena caval obstruction or thrombosis (Surgical)"
"1.2.11.30.2";"Inferior vena caval obstruction or thrombosis (Surgical)"
"1.2.11.38.1";"Superior vena caval damage (Surgical)"
"1.2.11.38.2";"Traumatic inferior vena caval damage (Surgical)"
"1.2.12.27.1";"Infected thrombophlebitis of the peripheral veins (Surgical)"
"1.2.12.27.2";"Infected intravenous catheter in the peripheral veins (Surgical)"
"1.2.12.27.3";"Infected arterio-venous shunt or fistula (Surgical)"
"1.2.12.35.1";"Hypovolaemic shock (Surgical)"
"1.2.12.35.2";"Septic shock (Surgical)"
"1.2.12.35.3";"Anaphylaxis (Surgical)"
"1.2.12.35.4";"Cardiogenic shock (Surgical)"
"1.2.12.19.1";"Accelerated or malignant hypertension (Surgical)"
"1.2.12.19.2";"Essential hypertension (Surgical)"
"1.2.12.19.3";"Phaeochromocytoma (Surgical)"
"1.2.12.19.4";"HELLP syndrome (Surgical)"
"1.2.12.19.5";"Pre-eclampsia (Surgical)"
"1.2.12.19.6";"Coarctation of the aorta (Surgical)"
"1.2.13.8.1";"Anomalous pulmonary venous drainage (Surgical)"
"1.2.13.8.2";"Pulmonary arterio-venous malformations (Surgical)"
"1.2.13.8.3";"Transposition of great arteries (Surgical)"
"1.2.13.8.4";"Patent ductus arteriosus (Surgical)"
"1.2.13.8.5";"Truncus arteriosus (Surgical)"
"1.2.13.15.1";"Goodpasture's syndrome (Surgical)"
"1.2.13.15.2";"Pulmonary vasculitis not defined (Surgical)"
"1.2.13.15.3";"Leptospirosis (Surgical)"
"1.2.13.15.4";"Pulmonary haemorrhage due to contusion (Surgical)"
"1.2.13.19.1";"Idiopathic pulmonary hypertension (Surgical)"
"1.2.13.19.2";"Eisenmenger's syndrome (Surgical)"
"1.2.13.19.3";"Cor pulmonale (Surgical)"
"1.2.13.28.1";"Goodpasture's syndrome (Surgical)"
"1.2.13.28.2";"Pulmonary vasculitis not defined (Surgical)"
"1.2.13.30.1";"Pulmonary embolus (thrombus) (Surgical)"
"1.2.13.30.2";"Fat embolus (Surgical)"
"1.2.13.30.3";"Venous air embolus (Surgical)"
"1.2.13.30.4";"Pulmonary tumour embolus (Surgical)"
"1.2.13.30.5";"Amniotic fluid embolus (Surgical)"
"1.2.13.38.1";"Traumatic damage to pulmonary vessels (Surgical)"
"1.2.13.38.2";"Instrumental damage to pulmonary vessels (Surgical)"
"1.3.4.30.3";"Meconium ileus (Surgical)"
"1.3.4.38.1";"Non-traumatic duodenal rupture (Surgical)"
"1.3.4.38.2";"Traumatic duodenal rupture (Surgical)"
"1.3.4.38.3";"Instrumental damage to duodenum (Surgical)"
"1.3.4.38.4";"Duodenal perforation due to ulcers (Surgical)"
"1.3.4.38.5";"Leaking duodenal anastomosis (Surgical)"
"1.3.4.38.6";"Duodeno-vascular fistula (Surgical)"
"1.3.4.38.7";"Duodenal fistula (Surgical)"
"1.3.4.39.1";"Duodenal or ampullary tumour (Surgical)"
"1.3.5.15.1";"Entero-vascular fistula (Surgical)"
"1.3.5.15.2";"Small bowel arterio-venous malformation (Surgical)"
"1.3.5.27.1";"Infective enteritides (Surgical)"
"1.3.5.27.2";"Necrotising enterocolitis (Surgical)"
"1.3.5.28.1";"Crohn's disease of small bowel (Surgical)"
"1.3.5.28.2";"Inflammatory perforation of small bowel (Surgical)"
"1.3.5.30.1";"Small bowel herniation (Surgical)"
"1.3.5.30.2";"Small bowel volvulus (Surgical)"
"1.3.5.30.3";"Small bowel adhesions (Surgical)"
"1.3.5.30.4";"Small bowel intussusception (Surgical)"
"1.3.5.30.5";"Small bowel tumour (Surgical)"
"1.3.5.30.6";"Small bowel inflammatory masses (Surgical)"
"1.3.5.38.1";"Non-traumatic small bowel perforation (Surgical)"
"1.3.5.38.2";"Traumatic small bowel perforation (Surgical)"
"1.3.5.38.3";"Instrumental damage to small bowel (Surgical)"
"1.3.5.38.4";"Leaking small bowel anastomosis (Surgical)"
"1.3.5.38.5";"Entero-enteric or entero-cutaneous fistula (Surgical)"
"1.3.5.39.1";"Small bowel tumour (Surgical)"
"1.3.5.41.1";"Visceral artery stenosis or occlusion (Surgical)"
"1.3.5.41.2";"Visceral artery embolism (Surgical)"
"1.3.5.41.3";"Visceral infarction due to primary vascular disease (Surgical)"
"1.3.5.41.4";"Small bowel infarction due to herniation, volvulus or adhesions (Surgical)"
"1.3.6.8.1";"Imperforate anus or rectum (Surgical)"
"1.3.6.8.2";"Hirschsprung's disease (Surgical)"
"1.3.6.15.1";"Colonic or rectal bleeding (Surgical)"
"1.3.6.15.2";"Colo-vascular fistula (Surgical)"
"1.3.6.27.1";"Infective colitis or proctocolitis (Surgical)"
"1.3.6.27.2";"Necrotising enterocolitis (Surgical)"
"1.3.6.27.3";"Diverticulitis or diverticular abscess (Surgical)"
"1.3.6.27.4";"Appendicitis or appendix abscess (Surgical)"
"1.3.6.28.1";"Crohn's disease of large bowel, rectum or anus (Surgical)"
"1.3.6.28.2";"Ulcerative colitis (Surgical)"
"1.3.6.28.3";"Toxic dilatation of large bowel (Surgical)"
"1.3.6.28.4";"Diverticulitis or diverticular abscess (Surgical)"
"1.3.6.28.5";"Appendicitis or appendix abscess (Surgical)"
"1.3.6.28.6";"Ischaemic colitis (Surgical)"
"1.3.6.30.1";"Large bowel herniation (Surgical)"
"1.3.6.30.2";"Large bowel volvulus (Surgical)"
"1.3.6.30.3";"Large bowel adhesions (Surgical)"
"1.3.6.30.4";"Large bowel intussusception or prolapse (Surgical)"
"1.3.6.30.5";"Large bowel tumour (Surgical)"
"1.3.6.30.6";"Large bowel inflammatory masses (Surgical)"
"1.3.6.38.1";"Non-traumatic large bowel perforation or rupture (Surgical)"
"1.3.6.38.2";"Traumatic large bowel perforation or rupture (Surgical)"
"1.3.6.38.3";"Instrumental damage to large bowel (Surgical)"
"1.3.6.38.4";"Leaking large bowel anastomosis (Surgical)"
"1.3.6.38.5";"Large bowel fistula (Surgical)"
"1.3.6.38.6";"Non-accidental injury to large bowel, rectum or anus (Surgical)"
"1.3.6.39.1";"Large bowel tumour (Surgical)"
"1.3.6.41.1";"Large bowel artery stenosis or occlusion (Surgical)"
"1.3.6.41.2";"Large bowel artery embolization (Surgical)"
"1.3.6.41.3";"Large bowel infarction due to primary vascular disease (Surgical)"
"1.3.6.41.4";"Large bowel infarction due to herniation, volvulus or adhesions (Surgical)"
"1.3.6.41.5";"Ischaemic colitis (Surgical)"
"1.3.7.8.1";"Biliary atresia (Surgical)"
"1.3.7.8.2";"Cholelithiasis (Surgical)"
"1.3.7.8.3";"Cystic liver disease (Surgical)"
"1.3.7.15.1";"Variceal bleeding (Surgical)"
"1.3.7.15.2";"Spontaneous subcapsular haematoma (Surgical)"
"1.3.7.15.3";"Bleeding from the biliary tree (Surgical)"
"1.3.7.27.1";"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder (Surgical)"
"1.3.7.27.2";"Infective hepatitis (Surgical)"
"1.3.7.27.3";"Infective cholangitis (Surgical)"
"1.3.7.27.4";"Hepatic abscess (Surgical)"
"1.3.7.27.5";"Hydatid disease (Surgical)"
"1.3.7.27.6";"Leptospirosis (Surgical)"
"1.3.7.28.1";"Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder (Surgical)"
"1.3.7.28.2";"Alcoholic cirrhosis (Surgical)"
"1.3.7.28.3";"Acute alcoholic hepatitis (Surgical)"
"1.3.7.28.4";"Drug induced hepatitis or hepatic necrosis (Surgical)"
"1.3.7.28.5";"Chronic cirrhosis cause not defined (Surgical)"
"1.3.7.28.6";"Sclerosing cholangitis (Surgical)"
"1.3.7.28.7";"Reye's or Reye-like syndrome  (Surgical)"
"1.3.7.30.1";"Biliary tree obstruction (Surgical)"
"1.3.7.30.2";"Biliary atresia (Surgical)"
"1.3.7.30.3";"Sclerosing cholangitis (Surgical)"
"1.3.7.30.4";"Cholelithiasis (Surgical)"
"1.3.7.38.1";"Traumatic rupture or laceration of liver (Surgical)"
"1.3.7.38.2";"Perforated biliary tree or gall bladder (Surgical)"
"1.3.7.38.3";"Instrumental damage to liver or biliary tree (Surgical)"
"1.3.7.38.4";"Hepatic artery aneurysm (Surgical)"
"1.3.7.38.5";"Biliary fistula (Surgical)"
"1.3.7.38.6";"Leaking biliary anastamosis (Surgical)"
"1.3.7.37.1";"Liver transplant (Surgical)"
"1.3.7.37.2";"Liver transplant rejection (Surgical)"
"1.3.7.39.1";"Primary hepatic tumour (Surgical)"
"1.3.7.39.2";"Secondary hepatic tumour (Surgical)"
"1.3.7.39.3";"Biliary tree tumour (Surgical)"
"1.3.7.39.4";"Carcinoid tumour (Surgical)"
"1.3.7.41.1";"Gangrenous gall bladder (Surgical)"
"1.3.7.41.2";"Portal vein occlusion or thrombosis (Surgical)"
"1.3.7.41.3";"Hepatic vein occlusion or thrombosis (Surgical)"
"1.3.7.41.4";"Hepatic artery aneurysm (Surgical)"
"1.3.7.41.5";"Hepatic infarction (Surgical)"
"1.3.7.41.6";"Portal hypertension (Surgical)"
"1.3.8.38.1";"Traumatic rupture or laceration of spleen (Surgical)"
"1.3.8.38.2";"Spontaneous splenic rupture (Surgical)"
"1.3.8.39.1";"Hypersplenism (Surgical)"
"1.3.8.39.2";"Lymphoma (Surgical)"
"1.3.9.15.1";"Pancreatic bleeding (Surgical)"
"1.3.9.27.1";"Pancreatic abscess or infected pseudocyst (Surgical)"
"1.3.9.27.2";"Infective pancreatitis (Surgical)"
"1.3.9.28.1";"Acute pancreatitis (Surgical)"
"1.3.9.28.2";"Chronic pancreatitis (Surgical)"
"1.3.9.38.1";"Traumatic pancreatitis or pancreatic damage (Surgical)"
"1.3.9.38.2";"Instrumental damage to pancreatic duct (Surgical)"
"1.3.9.38.3";"Pancreatic fistula (Surgical)"
"1.3.9.39.1";"Pancreatic or pancreato-duodenal tumour (Surgical)"
"1.3.10.8.1";"Exomphalos (Surgical)"
"1.3.10.8.2";"Gastroschisis or exomphalos (Surgical)"
"1.3.10.8.3";"Diaphragmatic hernia (Surgical)"
"1.3.10.8.4";"Inguinal or femoral hernia (Surgical)"
"1.3.10.8.5";"Hernia not defined (Surgical)"
"1.3.10.15.1";"Retroperitoneal haemorrhage (Surgical)"
"1.3.10.27.1";"Primary peritonitis (Surgical)"
"1.3.10.27.2";"Intra-peritoneal abscess (not pelvic) (Surgical)"
"1.3.10.27.3";"CAPD related peritonitis (Surgical)"
"1.3.10.27.4";"Fournier's gangrene of abdominal wall (Surgical)"
"1.3.10.27.5";"Necrotising fasciitis (Surgical)"
"1.3.10.27.6";"Pelvic infection or abscess (Surgical)"
"1.3.10.27.7";"Retroperitoneal abscess or infection (Surgical)"
"1.3.10.27.8";"Tuberculous peritonitis (Surgical)"
"1.3.10.38.1";"Trauma to abdominal wall (Surgical)"
"1.3.10.38.2";"Abdominal wound dehiscence (Surgical)"
"1.3.10.38.3";"Ruptured diaphragm (Surgical)"
"1.3.10.39.1";"Primary retroperitoneal malignancy (Surgical)"
"1.3.10.39.2";"Secondary retroperitoneal malignancy (Surgical)"
"1.4.1.15.2";"Epistaxis (Surgical)"
"1.4.1.27.1";"Mandible, facial bones, dental or salivary infection (Surgical)"
"1.4.1.27.2";"Tonsil or pharyngeal infection (Surgical)"
"1.4.1.27.3";"Orbital cellulitis (Surgical)"
"1.4.1.38.1";"Mouth, mandible, pharynx, or facial bones trauma (Surgical)"
"1.4.1.38.2";"Ocular trauma (Surgical)"
"1.4.1.39.1";"Head or neck tumour not intra-oral or intra-cranial (Surgical)"
"1.4.1.39.2";"Intra-oral or pharyngeal tumour (Surgical)"
"1.4.1.39.3";"Ocular tumour (Surgical)"
"1.4.1.41.1";"Carotid or vertebral artery stenosis or occlusion (Surgical)"
"1.4.1.41.2";"Carotid or vertebral artery aneurysm or dissection (Surgical)"
"1.4.1.41.3";"Traumatic rupture or puncture of carotid or vertebral artery (Surgical)"
"1.4.1.41.4";"Instrumental damage to carotid or vertebral artery (Surgical)"
"1.4.1.41.5";"Extracranial or neck arterio-venous malformation or haemangioma (Surgical)"
"1.4.1.41.6";"Vasculitis of cerebral circulation (Surgical)"
"1.4.1.41.7";"Vascular lesion of eyes (Surgical)"
"1.4.2.7.1";"Toxic or drug-induced coma or encephalopathy (Surgical)"
"1.4.2.7.2";"Metabolic coma or encephalopathy (Surgical)"
"1.4.2.7.3";"Anoxic or ischaemic coma or encephalopathy (Surgical)"
"1.4.2.7.4";"Degenerative coma or encephalopathy (Surgical)"
"1.4.2.7.5";"Post-anaesthetic encephalopathy aetiology uncertain (Surgical)"
"1.4.2.7.6";"Brainstem death (Surgical)"
"1.4.2.7.7";"Primary brain injury (Surgical)"
"1.4.2.7.8";"Reye's or Reye-like syndrome  (Surgical)"
"1.4.2.8.1";"Congenital hydrocephalus (Surgical)"
"1.4.2.8.2";"Secondary hydrocephalus (Surgical)"
"1.4.2.8.3";"Arnold-Chiari malformation (Surgical)"
"1.4.2.8.4";"Cerebral palsy (Surgical)"
"1.4.2.8.5";"Congenital abnormality of skull (Surgical)"
"1.4.2.8.6";"Parkinson's Disease (Surgical)"
"1.4.2.8.7";"Multiple sclerosis (Surgical)"
"1.4.2.8.8";"Central hypoventilation (Ondine's curse) (Surgical)"
"1.4.2.15.1";"Intracerebral bleeding (Surgical)"
"1.4.2.15.2";"Subarachnoid bleeding (Surgical)"
"1.4.2.15.3";"Subdural haematoma (Surgical)"
"1.4.2.15.4";"Extradural haematoma (Surgical)"
"1.4.2.27.1";"Meningitis (Surgical)"
"1.4.2.27.2";"Encephalitis (Surgical)"
"1.4.2.27.3";"Intracranial abscess (Surgical)"
"1.4.2.27.4";"Orbital cellulitis (Surgical)"
"1.4.2.27.5";"Infected CSF shunt (Surgical)"
"1.4.2.33.1";"Status epilepticus or uncontrolled seizures (Surgical)"
"1.4.2.33.2";"Eclampsia (Surgical)"
"1.4.2.33.3";"Alcohol withdrawal seizures (Surgical)"
"1.4.2.38.1";"Primary brain injury (Surgical)"
"1.4.2.38.2";"Subdural haematoma (Surgical)"
"1.4.2.38.3";"Extradural haematoma (Surgical)"
"1.4.2.38.4";"Non-accidental injury to brain (Surgical)"
"1.4.2.39.1";"Primary brain or meningeal tumour (Surgical)"
"1.4.2.39.2";"Secondary intracranial tumour (Surgical)"
"1.4.2.41.1";"Berry or other intracranial aneurysm (Surgical)"
"1.4.2.41.2";"Intracranial arterio-venous malformation (Surgical)"
"1.4.2.41.3";"Thrombo-occlusive disease of brain (Surgical)"
"1.4.2.41.4";"Arterial air embolus (Surgical)"
"1.4.2.41.5";"Vasculitis of cerebral circulation (Surgical)"
"1.4.2.41.6";"Embolic brain lesions causing respiratory failure (Surgical)"
"1.4.3.8.1";"Spinal cord or nerve root compression by intervertebral disc (Surgical)"
"1.4.3.8.2";"Spinal stenosis (Surgical)"
"1.4.3.8.3";"Spina bifida or meningomyelcoele (Surgical)"
"1.4.3.8.4";"Multiple sclerosis (Surgical)"
"1.4.3.9.1";"Motor neurone disease (Surgical)"
"1.4.3.9.2";"Transverse myelitis (Surgical)"
"1.4.3.12.1";"Epidural injection or infusion (Surgical)"
"1.4.3.12.2";"Spinal injection or infusion (Surgical)"
"1.4.3.27.1";"Epidural or subdural abscess (Surgical)"
"1.4.3.27.2";"Poliomyelitis (Surgical)"
"1.4.3.27.3";"Tetanus (Surgical)"
"1.4.3.38.1";"Cervical cord injury (Surgical)"
"1.4.3.38.2";"Thoracic cord injury (Surgical)"
"1.4.3.38.3";"Lumbar cord or cauda equina injury (Surgical)"
"1.4.3.38.4";"Chronic spinal cord injury (Surgical)"
"1.4.3.39.1";"Primary tumour of cord or meninges (Surgical)"
"1.4.3.39.2";"Extrinsic compression of cord by non-neural tumour (Surgical)"
"1.4.4.9.1";"Motor neurone disease (Surgical)"
"1.4.4.27.1";"Infective polyneuropathy (Surgical)"
"1.4.4.27.2";"Leprosy (Surgical)"
"1.4.4.28.1";"Guillain-Barre syndrome (Surgical)"
"1.4.4.28.2";"Toxic polyneuropathy (Surgical)"
"1.4.4.28.3";"Autoimmune polyneuropathy (Surgical)"
"1.4.4.28.4";"Porphyria (Surgical)"
"1.4.4.38.1";"Brachial plexus injury (Surgical)"
"1.4.4.38.2";"Lumbar plexus injury (Surgical)"
"1.4.5.8.1";"Pseudocholinesterase deficiency (Surgical)"
"1.4.5.8.2";"Failure of reversal of non-depolarising neuromuscular blockers (Surgical)"
"1.4.5.8.3";"Myasthenia gravis (Surgical)"
"1.5.3.9.1";"Traumatic pancreatitis or pancreatic damage (Surgical)"
"1.5.3.9.2";"Instrumental damage to pancreatic duct (Surgical)"
"1.5.3.10.1";"Trauma to abdominal wall (Surgical)"
"1.5.3.10.3";"Ruptured diaphragm (Surgical)"
"1.5.4.1.1";"Mouth, mandible, pharynx, or facial bones trauma (Surgical)"
"1.5.4.1.2";"Ocular trauma (Surgical)"
"1.5.4.2.1";"Primary brain injury (Surgical)"
"1.5.4.2.2";"Subdural haematoma (Surgical)"
"1.5.4.2.3";"Extradural haematoma (Surgical)"
"1.5.4.2.4";"Non-accidental injury to brain (Surgical)"
"1.5.4.3.1";"Cervical cord injury (Surgical)"
"1.5.4.3.2";"Thoracic cord injury (Surgical)"
"1.5.4.3.3";"Lumbar cord or cauda equina injury (Surgical)"
"1.5.4.3.4";"Chronic spinal cord injury (Surgical)"
"1.5.4.4.1";"Brachial plexus injury (Surgical)"
"1.5.4.4.2";"Lumbar plexus injury (Surgical)"
"1.5.5.1.1";"Traumatic renal rupture (Surgical)"
"1.5.5.1.2";"Traumatic disruption of ureters (Surgical)"
"1.5.5.1.3";"Traumatic damage to renal vessels (Surgical)"
"1.5.5.1.4";"Instrumental damage to kidney, ureter or vessels (Surgical)"
"1.5.5.2.1";"Traumatic perforation or rupture of bladder (Surgical)"
"1.5.5.2.2";"Traumatic perforation or rupture of urethra (Surgical)"
"1.5.5.2.3";"Instrumental damage to bladder or urethra (Surgical)"
"1.5.5.3.1";"Uterine rupture or perforation (Surgical)"
"1.5.5.3.2";"Instrumental damage to uterus, ovaries or fallopian tubes (Surgical)"
"1.5.5.3.3";"Non-accidental injury to female genitalia  (Surgical)"
"1.5.5.4.1";"Uterine rupture or perforation (Surgical)"
"1.5.5.4.2";"Instrumental damage to uterus, ovaries or fallopian tubes (Surgical)"
"1.5.5.5.1";"Traumatic damage to testes, prostrate or penis (Surgical)"
"1.5.5.5.2";"Instrumental damage to testes, prostrate or penis (Surgical)"
"1.5.5.5.3";"Non-accidental injury to male genitalia (Surgical)"
"1.5.6.1.1";"Cervical spine fracture or ligamentous injury (Surgical)"
"1.5.6.1.2";"Thoracic spine fracture or ligamentous injury (Surgical)"
"1.5.6.1.3";"Lumbar spine fracture or ligamentous injury (Surgical)"
"1.5.6.1.4";"Haemorrhage or haematoma from vertebral column (Surgical)"
"1.5.6.2.1";"Pelvic fracture (Surgical)"
"1.5.6.2.2";"Single long bone fracture (Surgical)"
"1.5.6.2.3";"Multiple long bone fractures (Surgical)"
"1.5.6.2.4";"Non-accidental injury to pelvis, long bones or joints (Surgical)"
"1.5.6.2.5";"Haemorrhage or haematoma from pelvis, long bones or joints (Surgical)"
"1.5.6.3.1";"Crush injury (Surgical)"
"1.5.6.3.2";"Compartment syndrome (Surgical)"
"1.5.6.3.3";"Non-accidental injury to muscles or connective tissue (Surgical)"
"1.5.6.3.4";"Haemorrhage or haematoma from muscles or connective tissue (Surgical)"
"1.5.6.3.5";"Non-accidental injury to muscles or connective tissue (Surgical)"
"1.5.6.3.6";"Amputation of limb (Surgical)"
"1.5.7.1.1";"Electrical burns (Surgical)"
"1.5.7.1.2";"Burns caused by dry heat (Surgical)"
"1.5.7.1.3";"Degloving injury (Surgical)"
"1.5.7.1.4";"Non-accidental injury to skin (Surgical)"
"1.6.8.1.1";"Accidental poisoning with sedatives or hypnotics (Surgical)"
"1.6.8.1.2";"Accidental poisoning with narcotics (Surgical)"
"1.6.8.1.3";"Accidental poisoning with tri- and tetracyclic antidepressants (Surgical)"
"1.6.8.1.4";"Accidental poisoning with non-cyclic antidepressants (Surgical)"
"1.6.8.1.5";"Accidental poisoning with cardiovascular drugs (Surgical)"
"1.6.8.1.6";"Accidental poisoning with aspirin (Surgical)"
"1.6.8.1.7";"Accidental poisoning with paracetamol (Surgical)"
"1.6.8.1.8";"Accidental poisoning with industrial or agricultural chemicals (Surgical)"
"1.6.8.1.9";"Accidental poisoning with insulin (Surgical)"
"1.6.8.1.10";"Accidental poisoning with alcohol (Surgical)"
"1.6.8.1.11";"Accidental poisoning with carbon monoxide (Surgical)"
"1.6.8.1.12";"Accidental poisoning with gases (not carbon monoxide) (Surgical)"
"1.6.8.1.13";"Accidental poisoning with agent not defined (Surgical)"
"1.6.8.34.1";"Self poisoning with sedatives or hypnotics (Surgical)"
"1.6.8.34.2";"Self poisoning with narcotics (Surgical)"
"1.6.8.34.3";"Self poisoning with tri- and tetracyclic antidepressants (Surgical)"
"1.6.8.34.4";"Self poisoning with non-cyclic antidepressants (Surgical)"
"1.6.8.34.5";"Self poisoning with cardiovascular drugs  (Surgical)"
"1.6.8.34.6";"Self poisoning with aspirin (Surgical)"
"1.6.8.34.7";"Self poisoning with paracetamol (Surgical)"
"1.6.8.34.8";"Self poisoning with industrial or agricultural chemicals (Surgical)"
"1.6.8.34.9";"Self poisoning with insulin (Surgical)"
"1.6.8.34.10";"Self poisoning with alcohol (Surgical)"
"1.6.8.34.11";"Self poisoning with carbon monoxide (Surgical)"
"1.6.8.34.12";"Self poisoning with gases (not carbon monoxide) (Surgical)"
"1.6.8.34.13";"Self poisoning with agent not defined (Surgical)"
"1.7.1.8.1";"Polycystic kidneys (Surgical)"
"1.7.1.8.2";"Renal agenesis or hypoplasia (Surgical)"
"1.7.1.8.3";"Nephrolithiasis (Surgical)"
"1.7.1.13.1";"Acute renal failure due to infection (Surgical)"
"1.7.1.13.2";"Acute renal failure due to haemodynamic causes (Surgical)"
"1.7.1.13.3";"Acute renal failure due to toxic or drug causes (Surgical)"
"1.7.1.13.4";"Acute renal failure other causes (Surgical)"
"1.7.1.13.5";"Chronic renal failure (Surgical)"
"1.7.1.15.1";"Retroperitoneal haemorrhage (Surgical)"
"1.7.1.15.2";"Traumatic damage to renal vessels (Surgical)"
"1.7.1.15.3";"Renal artery aneurysm or dissection (Surgical)"
"1.7.1.27.1";"Pyelonephritis or pyonephrosis (Surgical)"
"1.7.1.27.2";"Perinephric abscess (Surgical)"
"1.7.1.27.3";"Leptospirosis (Surgical)"
"1.7.1.27.4";"CAPD related peritonitis (Surgical)"
"1.7.1.28.1";"Glomerulonephritis (Surgical)"
"1.7.1.28.2";"Nephrotic syndrome (Surgical)"
"1.7.1.28.3";"Renal vasculitis (Surgical)"
"1.7.1.30.1";"Ureteric or renal obstruction (Surgical)"
"1.7.1.37.1";"Allograft (Surgical)"
"1.7.1.37.2";"Autotransplant of kidney (Surgical)"
"1.7.1.37.3";"Rejection of kidney transplant (Surgical)"
"1.7.1.38.1";"Traumatic renal rupture (Surgical)"
"1.7.1.38.2";"Traumatic disruption of ureters (Surgical)"
"1.7.1.38.3";"Traumatic damage to renal vessels (Surgical)"
"1.7.1.38.4";"Instrumental damage to kidney, ureter or vessels (Surgical)"
"1.7.1.39.1";"Renal or ureteric tumour (Surgical)"
"1.7.1.41.1";"Renal artery stenosis or occlusion (Surgical)"
"1.7.1.41.2";"Renal artery aneurysm or dissection (Surgical)"
"1.7.1.41.3";"Renal artery embolus (Surgical)"
"1.7.1.41.4";"Renal infarction (Surgical)"
"1.7.1.41.5";"Retroperitoneal haemorrhage (Surgical)"
"1.7.1.41.6";"Traumatic damage to renal vessels (Surgical)"
